[2026-06-27 14:52:16]   11 | INFO     | Initializing Agent nodes for LangGraph Lookbook Pipeline...
[2026-06-27 14:52:16]   20 | INFO     | Initializing CuratorAgent...
[2026-06-27 14:52:17]   42 | DEBUG    | Curator cache loaded successfully from data\cache\curator_cache.json (10 entries found).
[2026-06-27 14:52:17]   32 | INFO     | CuratorAgent initialized successfully.
[2026-06-27 14:52:17]   22 | INFO     | Initializing StylistAgent...
[2026-06-27 14:52:18]   43 | DEBUG    | Stylist cache loaded successfully from data\cache\stylist_cache.json (5 entries found).
[2026-06-27 14:52:18]   33 | INFO     | StylistAgent initialized successfully.
[2026-06-27 14:52:18]   20 | INFO     | Initializing EditorAgent...
[2026-06-27 14:52:19]   41 | DEBUG    | Editor cache loaded successfully from data\cache\editor_cache.json (5 entries found).
[2026-06-27 14:52:19]   31 | INFO     | EditorAgent initialized successfully.
[2026-06-27 14:52:19]   22 | INFO     | Initializing DirectorAgent...
[2026-06-27 14:52:20]   43 | DEBUG    | Director cache loaded successfully from data\cache\director_cache.json (5 entries found).
[2026-06-27 14:52:20]   33 | INFO     | DirectorAgent initialized successfully.
[2026-06-27 14:52:20]   17 | INFO     | All Agent nodes initialized successfully.
[2026-06-27 14:52:20]   46 | INFO     | Loading LangGraph Pipeline...
[2026-06-27 14:52:20]  112 | INFO     | Compiling Lookbook StateGraph execution structure...
[2026-06-27 14:52:20]  128 | INFO     | StateGraph compiled successfully. Lookbook pipeline is active.
[2026-06-27 14:52:22]  134 | INFO     | Pipeline graph visualization saved as 'pipeline_graph.png'
[2026-06-27 14:52:22]   48 | INFO     | Pipeline ready.
[2026-06-27 14:52:46]  251 | INFO     | Theme: Tokyo after midnight — neon-soaked minimalism meets Showa-era nostalgia
[2026-06-27 14:52:46]  252 | INFO     | Processing 6 images...
[2026-06-27 14:52:47]  154 | INFO     | Parsing base64 image - Format: jpeg, Data length: 92748
[2026-06-27 14:52:47]  170 | INFO     | Decoded base64 to 69559 bytes
[2026-06-27 14:52:47]  182 | INFO     | Cache hit! Image already saved: uploaded_982da8ed5eb3a1a8141d90e192c35b60.jpg
[2026-06-27 14:52:47]  154 | INFO     | Parsing base64 image - Format: jpeg, Data length: 280348
