[2026-06-27 17:58:20]   11 | INFO     | Initializing Agent nodes for LangGraph Lookbook Pipeline...
[2026-06-27 17:58:20]   20 | INFO     | Initializing CuratorAgent...
[2026-06-27 17:58:22]   49 | DEBUG    | No existing curator cache file found. Starting fresh.
[2026-06-27 17:58:22]   32 | INFO     | CuratorAgent initialized successfully.
[2026-06-27 17:58:22]   22 | INFO     | Initializing StylistAgent...
[2026-06-27 17:58:23]   50 | DEBUG    | No existing stylist cache file found. Starting fresh.
[2026-06-27 17:58:23]   33 | INFO     | StylistAgent initialized successfully.
[2026-06-27 17:58:23]   20 | INFO     | Initializing EditorAgent...
[2026-06-27 17:58:24]   48 | DEBUG    | No existing editor cache file found. Starting fresh.
[2026-06-27 17:58:24]   31 | INFO     | EditorAgent initialized successfully.
[2026-06-27 17:58:24]   22 | INFO     | Initializing DirectorAgent...
[2026-06-27 17:58:25]   50 | DEBUG    | No existing director cache file found. Starting fresh.
[2026-06-27 17:58:25]   33 | INFO     | DirectorAgent initialized successfully.
[2026-06-27 17:58:25]   17 | INFO     | All Agent nodes initialized successfully.
[2026-06-27 17:58:25]   46 | INFO     | Loading LangGraph Pipeline...
[2026-06-27 17:58:25]  112 | INFO     | Compiling Lookbook StateGraph execution structure...
[2026-06-27 17:58:25]  128 | INFO     | StateGraph compiled successfully. Lookbook pipeline is active.
[2026-06-27 17:58:26]  134 | INFO     | Pipeline graph visualization saved as 'pipeline_graph.png'
[2026-06-27 17:58:26]   48 | INFO     | Pipeline ready.
[2026-06-27 17:59:05]  251 | INFO     | Theme: Tokyo after midnight — neon-soaked minimalism meets Showa-era nostalgia
[2026-06-27 17:59:05]  252 | INFO     | Processing 4 images...
[2026-06-27 17:59:05]  154 | INFO     | Parsing base64 image - Format: jpeg, Data length: 35756
[2026-06-27 17:59:05]  170 | INFO     | Decoded base64 to 26817 bytes
[2026-06-27 17:59:05]  192 | INFO     | Successfully saved base64 image to: data\uploads\uploaded_29f1b71a3b7a5fc66ec63866b9ecc664.jpg
[2026-06-27 17:59:05]  154 | INFO     | Parsing base64 image - Format: jpeg, Data length: 79392
[2026-06-27 17:59:05]  170 | INFO     | Decoded base64 to 59543 bytes
[2026-06-27 17:59:05]  192 | INFO     | Successfully saved base64 image to: data\uploads\uploaded_b5d52d13351212c0b5bfdd5628ed68ee.jpg
