[2026-07-02 13:52:13]   13 | INFO     | Initializing Agent nodes for LangGraph Lookbook Pipeline...
[2026-07-02 13:52:13]   20 | INFO     | Initializing CuratorAgent...
[2026-07-02 13:52:13]   49 | DEBUG    | No existing curator cache file found. Starting fresh.
[2026-07-02 13:52:13]   32 | INFO     | CuratorAgent initialized successfully.
[2026-07-02 13:52:13]   20 | INFO     | Initializing StylistAgent...
[2026-07-02 13:52:14]   48 | DEBUG    | No existing stylist cache file found. Starting fresh.
[2026-07-02 13:52:14]   31 | INFO     | StylistAgent initialized successfully.
[2026-07-02 13:52:14]   20 | INFO     | Initializing EditorAgent...
[2026-07-02 13:52:15]   48 | DEBUG    | No existing editor cache file found. Starting fresh.
[2026-07-02 13:52:15]   31 | INFO     | EditorAgent initialized successfully.
[2026-07-02 13:52:15]   22 | INFO     | Initializing DirectorAgent...
[2026-07-02 13:52:16]   50 | DEBUG    | No existing director cache file found. Starting fresh.
[2026-07-02 13:52:16]   33 | INFO     | DirectorAgent initialized successfully.
[2026-07-02 13:52:16]   22 | INFO     | Initializing VisualDirectorAgent...
[2026-07-02 13:52:17]   35 | INFO     | VisualDirectorAgent initialized successfully.
[2026-07-02 13:52:17]   20 | INFO     | All Agent nodes initialized successfully.
[2026-07-02 13:52:17]   70 | INFO     | Loading LangGraph Pipeline...
[2026-07-02 13:52:17]  138 | INFO     | Compiling Lookbook StateGraph execution structure...
[2026-07-02 13:52:17]  156 | INFO     | StateGraph compiled successfully. Lookbook pipeline is active.
[2026-07-02 13:52:17]   72 | INFO     | Pipeline ready.
[2026-07-02 13:52:58]  277 | INFO     | Theme: Tokyo after midnight — neon-soaked minimalism meets Showa-era nostalgia
[2026-07-02 13:52:58]  278 | INFO     | Processing 10 images...
[2026-07-02 13:52:59]  180 | INFO     | Parsing base64 image - Format: jpeg, Data length: 35756
[2026-07-02 13:52:59]  196 | INFO     | Decoded base64 to 26817 bytes
[2026-07-02 13:52:59]  208 | INFO     | Cache hit! Image already saved: uploaded_29f1b71a3b7a5fc66ec63866b9ecc664.jpg
[2026-07-02 13:52:59]  180 | INFO     | Parsing base64 image - Format: jpeg, Data length: 53684
[2026-07-02 13:52:59]  196 | INFO     | Decoded base64 to 40262 bytes
[2026-07-02 13:52:59]  208 | INFO     | Cache hit! Image already saved: uploaded_955621864ab711936a68c0d5e0d0f18f.jpg
[2026-07-02 13:52:59]  180 | INFO     | Parsing base64 image - Format: jpeg, Data length: 79392
[2026-07-02 13:52:59]  196 | INFO     | Decoded base64 to 59543 bytes
[2026-07-02 13:52:59]  208 | INFO     | Cache hit! Image already saved: uploaded_b5d52d13351212c0b5bfdd5628ed68ee.jpg
[2026-07-02 13:52:59]  180 | INFO     | Parsing base64 image - Format: jpeg, Data length: 238572
[2026-07-02 13:52:59]  196 | INFO     | Decoded base64 to 178927 bytes
[2026-07-02 13:52:59]  208 | INFO     | Cache hit! Image already saved: uploaded_456d858276755547619047746a3bb073.jpg
[2026-07-02 13:52:59]  180 | INFO     | Parsing base64 image - Format: jpeg, Data length: 63216
[2026-07-02 13:52:59]  196 | INFO     | Decoded base64 to 47412 bytes
[2026-07-02 13:52:59]  208 | INFO     | Cache hit! Image already saved: uploaded_f294bab6e3faa9d180d0ba41d95729df.jpg
[2026-07-02 13:52:59]  180 | INFO     | Parsing base64 image - Format: jpeg, Data length: 88136
[2026-07-02 13:52:59]  196 | INFO     | Decoded base64 to 66101 bytes
[2026-07-02 13:52:59]  208 | INFO     | Cache hit! Image already saved: uploaded_7d9d682329bdb115c4393e402e0e3acd.jpg
[2026-07-02 13:52:59]  180 | INFO     | Parsing base64 image - Format: jpeg, Data length: 27200
